Level,GrammarPoint,Japanese,English
N5,だ,だ,To be
N5,です,です,To be
N5,は,は,As for... (Highlights ...
N5,も,も,Also
N5,これ,これ,This
N5,それ,それ,That
N5,あれ,あれ,That (over there)
N5,の,の,Indicates possession
N5,いい,いい,い-Adjective meaning &#39;g...
N5,い-Adjectives,い-Adjectives,Adjectives ending in い
N5,な-Adjectives,な-Adjectives,Adjectives that are al...
N5,か,か,Question marking particle
N5,が,が,Subject marking particle
N5,よ,よ,Emphasis (Sentence end...
N5,ね,ね,Isn&#39;t it?
N5,る-Verb (Dictionary),る-Verb (Dict...,る + ます (Ichidan Verbs)
N5,う-Verb (Dictionary),う-Verb (Dict...,う + ます (Godan Verbs)
N5,を,を,Object marking particle
N5,ます,ます,Polite Verb Endings
N5,る-Verb (Negative),る-Verb (Nega...,Will/Does/Do (not)
N5,う-Verb (Negative),う-Verb (Nega...,Will/Does/Do (not)
N5,と,と,And
N5,ここ,ここ,Here
N5,そこ,そこ,There
N5,あそこ,あそこ,Over there
N5,で,で,At
N5,に,に,In
N5,か,か,Or
N5,と,と,With
N5,でしょう,でしょう,Right?
N5,だろう,だろう,Right?
N5,がある,がある,To be
N5,がいる,がいる,To be
N5,この,この,This
N5,その,その,That
N5,あの,あの,That (over there)
N5,～んです・のです,～んです,Explanatory
N5,い-Adjective (Past),い-Adjective ...,Was
N5,の,の,Verb nominalizer
N5,い-Adjective + Noun,い-Adjective ...,Describing a noun
N5,な-Adjective + Noun,な-Adjective ...,Describing a noun
N5,へいく,へいく,To go to
N5,する,する,To do
N5,くる,くる,To come
N5,る-Verb (Past),る-Verb (Past),る - Verbs (Past tense)
N5,う-Verb (Past),う-Verb (Past),う - Verbs (Past tense)
N5,好き,好き,Like
N5,きらい,きらい,Dislike
N5,のがすき,のがすき,Like doing
N5,がある + Noun,がある + Noun,Noun (B) that has Noun...
N5,い-Adjectives くない,い-Adjectives...,Not (Adjective)
N5,で,で,With
N5,ので,ので,Because
N5,から,から,Because
N5,から,から,From
N5,けど・だけど,けど,But
N5,が,が,But
N5,る-Verb (Negative-Past),る-Verb (Nega...,る - Verbs (Negative-pa...
N5,う-Verb (Negative-Past),う-Verb (Nega...,う - Verbs (Negative-pa...
N5,Verb + て,Verb + て,And
N5,ている①,ている①,Is
N5,へ,へ,To
N5,Verb + にいく,Verb + にいく,To go ~
N5,誰,誰,Who
N5,い-Adjective (Predicate),い-Adjective ...,い-Adjective (Predicate)
N5,な-Adjective だ,な-Adjective だ,な-Adjective (Predicate)
N5,だった・でした,だった,Was
N5,じゃない,じゃない,Is not
N5,じゃなかった,じゃなかった,Was not
N5,い-Adjective くなかった,い-Adjective ...,Was not
N5,と,と,Quotation
N5,って,って,Casual quotation
N5,Verbs (Non-past),Verbs (Non-p...,(Non-past)
N5,Verb［た・ている］+ Noun,Verb［た,Verb modified noun
N5,の,の,Possessive use (Noun o...
N5,な,な,Do not
N5,だけ,だけ,Only
N5,どれ,どれ,Which (of three or more)
N5,どこ,どこ,Where
N5,どの,どの,Which (of three or more)
N5,ている②,ている②,State of being
N5,てから,てから,Once...is done
N5,Verb + て+ B,Verb + て+ B,And
N5,もう,もう,Already
N5,まだ,まだ,Still
N5,まだ～ていません,まだ～ていません,Still haven&#39;t done (so...
N5,てもいい,てもいい,It is alright/fine/oka...
N5,たい,たい,Want to do
N5,たり～たりする,たり～たりする,Things like ~ and ~
N5,けっこう,けっこう,Quite
N5,たくさん,たくさん,Many
N5,まえに,まえに,Before
N5,くらい ①,くらい ①,About
N5,Noun + まで,Noun + まで,Until
N5,Verb + まで,Verb + まで,Until (something) happens
N5,すぎる,すぎる,Too much
N5,にする,にする,To decide on
N5,～になる・～くなる,～になる,To become (Adjective)
N5,のなかで～がいちばん～,のなかで～がいちばん～,Out of ~
N5,より～のほうが,より～のほうが,To be more ~ than ~
N5,なにか・なにも,なにか,Something
N5,誰か・どこか・誰も・どこも,誰か,Someone
N5,ましょう,ましょう,Let&#39;s
N5,～ましょうか,～ましょうか,Shall we
N5,ませんか,ませんか,Won&#39;t you
N5,Verb + てもいい,Verb + てもいい,It&#39;s okay to
N5,てください,てください,Please do (Polite requ...
N5,ないでください,ないでください,Please don&#39;t (Polite r...
N5,てはいけない,てはいけない,Must not
N5,なくてはいけない,なくてはいけない,Must do
N5,なくてはならない,なくてはならない,Must do
N5,たほうがいい,たほうがいい,It&#39;d be better to
N5,ないほうがいい,ないほうがいい,It&#39;d be better not to
N5,なくちゃ・なきゃ,なくちゃ,Must do
N5,や,や,Things like
N5,たことがある,たことがある,Have done before
N5,ている③,ている③,Has/have done
N5,Adjective + て・Noun + で,Adjective + て,And... (Conjunctive)
N5,Adjective + て + B,Adjective + ...,And...
N5,のがへた,のがへた,To be bad at
N5,のがじょうず,のがじょうず,To be good at
N5,Adjective + の(は),Adjective + ...,The &#39;one&#39; that... (Ind...
N5,あげる,あげる,To give (away)
N5,くれる,くれる,To give (me)
N5,もらう,もらう,To receive
N5,けれども,けれども,But
N5,つもりだ,つもりだ,To plan to
N4,でも,でも,Or something
N4,やすい,やすい,Easy to
N4,にくい,にくい,Difficult to
N4,だんだん,だんだん,Gradually
N4,どんどん,どんどん,Progressively
N4,～ら,～ら,We
N4,ていく,ていく,To ~ and go
N4,てくる ,てくる,To come to
N4,かた,かた,Way of ~ing
N4,だけで,だけで,Just by
N4,だが・ですが,だが,But
N4,なくて,なくて,To not ~ and ~
N4,なくて,なくて,Not ~ and
N4,ないで,ないで,Without doing
N4,Verb［れる・られる］,Verb［れる,Was done to ~ by ~
N4,他動詞・自動詞,他動詞,Done through action vs...
N4,なおす,なおす,To do over
N4,ということ,ということ,~ing
N4,とき,とき,When
N4,まず,まず,To start with
N4,まで,まで,Even
N4,までに,までに,By ~
N4,また,また,Also
N4,はじめる,はじめる,To start
N4,おわる,おわる,To finish
N4,ごろ,ごろ,Around
N4,あとで,あとで,After
N4,ていた ,ていた,Was doing ~
N4,に (Frequency),に (Frequency),Times (In each time pe...
N4,とうとう,とうとう,Finally
N4,より,より,More than
N4,ごとに,ごとに,Each
N4,なるべく,なるべく,As ~ as possible
N4,るところだ,るところだ,About to
N4,のに ,のに,Despite
N4,とおもう,とおもう,I think
N4,など,など,Such as
N4,みたい,みたい,Like
N4,こと,こと,Converting a verb into...
N4,そう ,そう,Look like
N4,さ,さ,Converting adjectives ...
N4,とか～とか,とか～とか,Among other things
N4,そういう,そういう,Like that
N4,Verb[よう],Verb[よう],Let&#39;s
N4,ようだ,ようだ,It seems that
N4,ぜんぜん,ぜんぜん,(Not) at all
N4,かな,かな,I wonder
N4,あまり～ない,あまり～ない,Not very
N4,ば,ば,If… then
N4,なら,なら,Were it
N4,がる,がる,To feel
N4,がする,がする,To give off
N4,たがる,たがる,To want to (Third person)
N4,かもしれない,かもしれない,Might
N4,みたいに・みたいな,みたいに,Like
N4,そうに・そうな ,そうに,Seem
N4,のように・のような ,のように,Like (Noun)
N4,〜ようと思う・〜おうと思う,〜ようと思う,I think I will
N4,く・に,く,～ly (Describing verbs)
N4,～にする・～くする,～にする,Adjective + する
N4,といい,といい,I hope
N4,ようになる,ようになる,To reach the point that
N4,まい～のように,まい～のように,Almost every ~
N4,じゃないか,じゃないか,Isn&#39;t it?
N4,らしい ①,らしい ①,Seems like
N4,ておく,ておく,To do something in adv...
N4,がほしい,がほしい,To want something
N4,てほしい,てほしい,I want you to
N4,ときいた,ときいた,I heard that
N4,聞こえる,聞こえる,To be audible
N4,見える,見える,To be visible
N4,だす,だす,To suddenly begin
N4,～代,～代,Teens
N4,Number + も,Number + も,Emphasis
N4,ほとんど,ほとんど,Almost all
N4,そんな・こんな・あんな・どんな,そんな,Such a・Kind of
N4,各,各,Each
N4,以上 ①,以上 ①,More than (or equal to)
N4,いか,いか,Less than (or equal to)
N4,いがい,いがい,Except・besides
N4,ずっと ①,ずっと ①,Continuously
N4,だいたい,だいたい,Most・mostly
N4,のなかで,のなかで,In
N4,ように・ような,ように,As・like
N4,Number/Amount + は,Number/Amoun...,At least
N4,なん + counter + か,なん + counter...,Some
N4,真(っ),真(っ),Completely
N4,Number + しか〜ない,Number + しか〜ない,No more than
N4,～は～の一つだ,～は～の一つだ,〜 is one of (many) 〜
N4,～ない～はない,～ない～はない,There is not ~ that is...
N4,すこしも～ない,すこしも～ない,Not even a little
N4,すくなくない,すくなくない,Quite a few
N4,ばあいは,ばあいは,In the event of
N4,Verb[て],Verb[て],Please do for me (Casu...
N4,てよかった,てよかった,I&#39;m glad that
N4,Verb［せる・させる］,Verb［せる,To make/let/have (some...
N4,といってもいい,といってもいい,You could say
N4,ても,ても,Even if
N4,てしまう・ちゃう,てしまう,To do something by acc...
N4,Verb[て] + B,Verb[て] + B,And・and so
N4,Causative-Passive,Causative-Pa...,Verbs (Causative-passi...
N4,Verb[て]・Noun[で] + B,Verb[て],By
N4,てある ,てある,Something is done
N4,ように～てほしい,ように～てほしい,Want ~ to ~ like ~
N4,ているあいだに,ているあいだに,While
N4,なくてもいい,なくてもいい,Don&#39;t have to
N4,てみる,てみる,To try to
N4,てすみません,てすみません,I&#39;m sorry for
N4,てあげる,てあげる,To do something for so...
N4,てくれる,てくれる,To do something for so...
N4,てもらう,てもらう,To get someone to do
N4,なさい,なさい,Command to do
N4,Verb[て] + B,Verb[て] + B,Non-sequence
N4,Verb[ないで],Verb[ないで],(Please) do not (for me)
N4,てくれてありがとう,てくれてありがとう,Thank you for ~ ing
N4,てくれない・てもらえない,てくれない,Won&#39;t you?
N4,～のだろうか,～のだろうか,I wonder...
N4,お～になる ,お～になる,To do (Honorific)
N4,なさる,なさる,To do (Honorific)
N4,お～ください ,お～ください,Please do (Honorific)
N4,いらっしゃる,いらっしゃる,To be (Honorific)
N4,ございます,ございます,To be
N4,でございます,でございます,To be
N4,お〜する,お〜する,I humbly do
N4,いたす,いたす,To do (Humble)
N4,ていただけませんか,ていただけませんか,Won&#39;t you
N4,たら,たら,When
N4,ほかに(も)・ほか(に)は,ほかに(も),Other
N4,がひつよう,がひつよう,Need
N4,そんなに,そんなに,So (much)
N4,ひつようがある,ひつようがある,It is necessary to
N4,たとえば,たとえば,For example
N4,れる・られる (Potential),れる,To be able
N4,んだけど・んですが,んだけど,But...
N4,はずだ,はずだ,Bound to (be)
N4,かどうか,かどうか,Whether or not
N4,と,と,If
N4,ないと,ないと,Must
N4,はずがない,はずがない,Hardly possible
N4,しか～ない ,しか～ない,There&#39;s only
N4,だけでなく,だけでなく,Not only… but also
N4,ことができる,ことができる,Can
N4,かい,かい,Question marker
N4,もし,もし,If (For emphasis)
N4,し～し ,し～し,And
N4,でできる・からできる,でできる,Made of
N4,ながら,ながら,While ~ing
N4,たところだ,たところだ,Just finished doing
N4,ているところだ,ているところだ,In the process of doin...
N4,と～と、どちらが ,と～と、どちらが,Between ~ which one
N4,ようにする,ようにする,To try to
N4,なければいけない,なければいけない,Must do
N4,なければならない,なければならない,Must do
N4,つづける,つづける,To continue
N4,ようにいう,ようにいう,To tell
N4,よていだ,よていだ,Plan to
N4,ようにいのる,ようにいのる,Pray that/for
N4,たばかり,たばかり,Just did
N4,化する,化する,-ification
N4,命令形,命令形,(Verb)!
N4,ように,ように,So that
N4,かしら,かしら,I wonder
N4,らしい ②,らしい ②,typical of
N4,にみえる,にみえる,To look
N4,とみえる,とみえる,It seems that
N4,風,風,-style
N4,がみられる,がみられる,Can see
N4,にきがつく,にきがつく,To notice (that)
N4,〜でも 〜でも,〜でも 〜でも,Whether ~ or
N4,それに,それに,And
N4,それで,それで,Because of that
N4,Question-phrase + か,Question-phr...,Including questions wi...
N4,それでも,それでも,But still
N4,たらどう,たらどう,Why don&#39;t you...?
N4,とかんがえられている,とかんがえられている,Is considered
N4,とされている,とされている,To be considered
N4,といわれている,といわれている,It is said that
N4,ばよかった,ばよかった,Should have
N3,ばいい,ばいい,Can
N3,たらいい・といい,たらいい,It would be nice if
N3,中,中,During
N3,の間に,の間に,While
N3,うちに,うちに,While
N3,ないうちに,ないうちに,Before it becomes
N3,べき,べき,Must
N3,べきではない,べきではない,Should not
N3,って,って,As for
N3, なかなか,なかなか,Very
N3,あまり,あまり,So much...that
N3,なかなか～ない,なかなか～ない,Not really
N3,によると・によれば,によると,According to
N3,によって・による,によって,By means of
N3,全く～ない,全く～ない,Not~at all
N3,ことだ,ことだ,Should
N3,そうだ ,そうだ,I heard that
N3,すると,すると,Having done...
N3,そうすると,そうすると,Having done that...
N3,のはXの方だ,のはXの方だ,It is...that...
N3,Noun＋型,Noun＋型,Model
N3,てごらん,てごらん,(Please) try to
N3,Particle + の,Particle + の,Combined particles
N3,である,である,Formal or literary だ
N3,ところが,ところが,Even so
N3,ところで,ところで,By the way
N3,ほど,ほど,The more
N3,ば〜ほど,ば〜ほど,The more…the more
N3,ほど～ない,ほど～ない,Is not as…as
N3,では・それでは・じゃあ,では,If so
N3,のに,のに,In order to
N3,ため(に),ため(に),For
N3,ために,ために,Due to
N3,という,という,Called
N3,ということだ,ということだ,I heard that
N3,というのは,というのは,~ Known as ~ is
N3,的,的,~ly・~like・~al
N3,もの・もん,もの,Because
N3,ものだ,ものだ,Supposed to
N3,最中に,最中に,In the middle of
N3,上で,上で,After
N3,おかげで,おかげで,Thanks to
N3,にもとづいて,にもとづいて,Based on
N3,点,点,Aspect
N3,なぜなら〜から,なぜなら〜から,Because
N3,こそ,こそ,For sure
N3,からこそ,からこそ,Emphasized because
N3,ばかり,ばかり,Just
N3,ばかりだ,ばかりだ,(Only) continue to
N3,ばかりに,ばかりに,Simply because
N3,ことがある,ことがある,Something is possible
N3,ことにする,ことにする,To decide on
N3,ことなの,ことなの,(A) is (Description of A)
N3,ことになる,ことになる,It will end up being
N3,～は～で有名,～は～で有名,Is famous for
N3,ことはない,ことはない,There is no need to
N3, ～と言っても,～と言っても,Although ~ might say t...
N3,といえば,といえば,Speaking of
N3,合う,合う,To do for one another
N3,に合わせて・に合った,に合わせて,In accordance with
N3,について,について,Concerning
N3,～(の)姿,～(の)姿,Figure
N3,と言える,と言える,Would or could say tha...
N3,ちゃんと・きちんと,ちゃんと,Properly
N3,そのため(に),そのため(に),For that reason
N3,その結果,その結果,As a result
N3,に比べて,に比べて,Compared to
N3,どんなに〜ても,どんなに〜ても,No matter how
N3,いくら〜でも,いくら〜でも,No matter how (much)
N3,〜かは〜によって違う,〜かは〜によって違う,Depends on
N3,かなり,かなり,Quite
N3,あまりに,あまりに,So much...that
N3,わけだ,わけだ,For that reason
N3,わけではない,わけではない,It doesn&#39;t mean that
N3,と同時に,と同時に,At the same time as
N3,ところだった ①,ところだった ①,Almost
N3,だって,だって,I heard/was said
N3,んだって,んだって,I heard that
N3,関係がある,関係がある,(Not) involved with
N3,に関する・に関して,に関する,Related to
N3,に対して,に対して,In contrast to
N3,くらい ②,くらい ②,To the extent that
N3,は～くらいです,は～くらいです,About the only
N3,さ - Interjection,さ - Interjec...,All right
N3,さ - Filler,さ - Filler,Like
N3,さ - Casual よ,さ - Casual よ,Casual よ
N3,それぞれ,それぞれ,Each
N3,まま(に),まま(に),As is
N3,そこで,そこで,Accordingly
N3,しかない,しかない,Have no choice but
N3,てもかまわない,てもかまわない,It doesn&#39;t matter if
N3,～ても～なくても,～ても～なくても,Whether ~ or not
N3,んじゃない,んじゃない,Don&#39;t
N3,わけがない,わけがない,There is no way
N3,としたら・とすれば・とすると,としたら,If it were the case that
N3,として,として,As (i.e. in the role of)
N3,にしては,にしては,(Even) considering
N3,にしても,にしても,Even though
N3,～というのは事実だ,～というのは事実だ,It is a fact that ~
N3,から言うと,から言うと,Speaking in terms of
N3,に取って,に取って,To
N3,ことから,ことから,From the fact that
N3,というより,というより,...is more of a... tha...
N3,はもちろん,はもちろん,Not only but also
N3,をはじめ,をはじめ,Not only...but also...
N3,て初めて,て初めて,For the first time
N3,さえ,さえ,Even
N3,さえ〜ば,さえ〜ば,If only…then
N3,たものだ,たものだ,Used to
N3,さて,さて,Well
N3,むしろ,むしろ,Rather
N3,つまり,つまり,In short
N3,即ち,即ち,In other words
N3,却って,却って,All the more
N3,まるで…ようだ,まるで…ようだ,It is entirely as if
N3,ような気がする,ような気がする,Have a feeling that
N3,とても～ない,とても～ない,Not ~ at all
N3,別に〜ない,別に〜ない,Not really
N3,ばかりでなく,ばかりでなく,Not only…but also
N3,ではなくて・じゃなくて,ではなくて,Not A but B
N3,だけでなく(て)～も,だけでなく(て)～も,Not only ~ but ~ also
N3,だけしか,だけしか,To emphasize &#39;~only&#39;
N3,は言うまでもない ①,は言うまでもない ①,It goes without saying...
N3,決して〜ない,決して〜ない,Never
N3,わけにはいかない,わけにはいかない,Cannot afford to
N3,〜ようとしない,〜ようとしない,Not willing to
N3,もしかしたら,もしかしたら,Perhaps
N3,たとえ〜ても,たとえ〜ても,Even if…is the case
N3,ことに,ことに,Extremely
N3,ことか,ことか,How…
N3,～かというと ①,～かというと ①,Why? Well...
N3,～かというと ②,～かというと ②,If you ask me...
N3,で言うと,で言うと,In
N3,～ずつ,～ずつ,One at a time
N3,ずっと ②,ずっと ②,By far
N3,だらけ,だらけ,Completely covered in
N3,もっとも,もっとも,Although
N3,再び,再び,Again
N3,み,み,~ness
N3,と同じくらい,と同じくらい,About the same as
N3,と同じで・と違って,と同じで,Like
N3,と並んで,と並んで,In line with
N3,に違いない,に違いない,There is no doubt that
N3,当たり,当たり,Per~
N3,に当たる,に当たる,Correspond to
N3,に限る,に限る,Nothing better than
N3,とは限らない,とは限らない,Not necessarily so
N3,めったに〜ない,めったに〜ない,Hardly
N3,割に,割に,Although
